i,time,layer,decision,datetime,reason,box_cause,event_type,direction,box_dir,entry_price,exit_time,exit_price,exit_reason,pnl,equity,dd,in_position,position_owner,l2_reason
3872,1724724000,,nonentry,2024-08-27 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3873,1724727600,,nonentry,2024-08-27 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3874,1724731200,,nonentry,2024-08-27 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3875,1724734800,,nonentry,2024-08-27 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3876,1724738400,,nonentry,2024-08-27 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3877,1724742000,L1,entry,2024-08-27 07:00,entered,,ENTRY,short,,19576.75,1724749440,19483.25,TAKE_PROFIT_HARD,1870.0,25423.0,2120.0,True,L1,
3878,1724745600,L1,nonentry,2024-08-27 08:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3879,1724749200,L1,nonentry,2024-08-27 09:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3880,1724752800,,nonentry,2024-08-27 10:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3881,1724756400,,nonentry,2024-08-27 11:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3882,1724760000,,nonentry,2024-08-27 12:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3883,1724763600,,nonentry,2024-08-27 13:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3884,1724767200,L1,entry,2024-08-27 14:00,entered,,ENTRY,long,,19686.25,1724777160,19628.75,STOP_LOSS_SOFT,-1150.0,24273.0,3270.0,True,L1,
3885,1724770800,L1,nonentry,2024-08-27 15:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3886,1724774400,L1,nonentry,2024-08-27 16:00,open_trade,,NOENTRY,,,,,,,0.0,0.0,0.0,True,L1,
3887,1724781600,,nonentry,2024-08-27 18:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3888,1724785200,,nonentry,2024-08-27 19:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3889,1724788800,,nonentry,2024-08-27 20:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3890,1724792400,,nonentry,2024-08-27 21:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3891,1724796000,,nonentry,2024-08-27 22:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3892,1724799600,,nonentry,2024-08-27 23:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3893,1724803200,,nonentry,2024-08-28 00:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3894,1724806800,,nonentry,2024-08-28 01:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3895,1724810400,,nonentry,2024-08-28 02:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3896,1724814000,,nonentry,2024-08-28 03:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3897,1724817600,,nonentry,2024-08-28 04:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3898,1724821200,,nonentry,2024-08-28 05:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3899,1724824800,,nonentry,2024-08-28 06:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3900,1724828400,,nonentry,2024-08-28 07:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3901,1724832000,,nonentry,2024-08-28 08:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
3902,1724835600,,nonentry,2024-08-28 09:00,box_silence,,NOENTRY,,,,,,,0.0,0.0,0.0,False,,
