title,et,status
Inflation Rate MoM,2025-05-13 08:30:00,confirmed
Non Farm Payrolls,2025-06-06 08:30:00,confirmed
Inflation Rate MoM,2025-06-11 08:30:00,confirmed
Fed Interest Rate Decision,2025-06-18 14:00:00,confirmed
Non Farm Payrolls,2025-07-03 08:30:00,confirmed
Inflation Rate MoM,2025-07-15 08:30:00,confirmed
Fed Interest Rate Decision,2025-07-30 14:00:00,confirmed
Non Farm Payrolls,2025-08-01 08:30:00,confirmed
Inflation Rate MoM,2025-08-12 08:30:00,confirmed
Non Farm Payrolls,2025-09-05 08:30:00,confirmed
Inflation Rate MoM,2025-09-11 08:30:00,confirmed
Fed Interest Rate Decision,2025-09-17 14:00:00,confirmed
Inflation Rate MoM,2025-10-24 08:30:00,confirmed
Fed Interest Rate Decision,2025-10-29 14:00:00,confirmed
Non Farm Payrolls,2025-11-20 08:30:00,confirmed
Fed Interest Rate Decision,2025-12-10 14:00:00,confirmed
Non Farm Payrolls,2025-12-16 08:30:00,confirmed
Inflation Rate MoM,2025-12-18 08:30:00,scheduled
Non Farm Payrolls,2026-01-09 08:30:00,confirmed
Inflation Rate MoM,2026-01-13 08:30:00,confirmed
Fed Interest Rate Decision,2026-01-28 14:00:00,confirmed
Non Farm Payrolls,2026-02-11 08:30:00,confirmed
Inflation Rate MoM,2026-02-13 08:30:00,confirmed
Non Farm Payrolls,2026-03-06 08:30:00,confirmed
Inflation Rate MoM,2026-03-11 08:30:00,confirmed
Fed Interest Rate Decision,2026-03-18 14:00:00,confirmed
Non Farm Payrolls,2026-04-03 08:30:00,confirmed
Inflation Rate MoM,2026-04-10 08:30:00,confirmed
Fed Interest Rate Decision,2026-04-29 14:00:00,confirmed
Non Farm Payrolls,2026-05-08 08:30:00,confirmed
Inflation Rate MoM,2026-05-12 08:30:00,confirmed
Non Farm Payrolls,2026-06-05 08:30:00,confirmed
Inflation Rate MoM,2026-06-10 08:30:00,confirmed
Fed Interest Rate Decision,2026-06-17 14:00:00,confirmed
Non Farm Payrolls,2026-07-02 08:30:00,confirmed
Inflation Rate MoM,2026-07-14 08:30:00,confirmed
Fed Interest Rate Decision,2026-07-29 14:00:00,confirmed
Non Farm Payrolls,2026-08-07 08:30:00,confirmed
Inflation Rate MoM,2026-08-12 08:30:00,scheduled
