cell,tok,arm,N,rule,n_conf,mean25,t25,mde,expl_mean25,yrs_pos,max_year_share,loyo_min,ticks,verdict
CL_cash_30_R3,CL,cash,30,R3,1800,-18.59,-1.649,31.58,-20.65,1/7,,-41560.0,0.6,UNDERPOWERED
CL_cash_60_R1,CL,cash,60,R1,1758,-20.05,-0.969,57.92,1.1,2/7,,-50630.0,0.27,UNDERPOWERED
CL_cash_60_R2,CL,cash,60,R2,1758,-30.32,-2.482,34.19,-12.92,1/7,,-61602.0,-0.33,NEGATIVE (t) but UNDERPOWERED vs $25
CL_cash_60_R3,CL,cash,60,R3,1758,-37.3,-2.497,41.83,-4.35,1/7,,-66345.0,-0.44,NEGATIVE (t) but UNDERPOWERED vs $25
CL_globex_5_R1,CL,globex,5,R1,1794,-39.87,-2.443,45.7,-108.51,0/7,,-70940.0,-3.43,NEGATIVE (t) but UNDERPOWERED vs $25
CL_globex_5_R2,CL,globex,5,R2,1794,-41.57,-2.283,50.98,-106.12,1/7,,-85045.0,-3.92,NEGATIVE (t) but UNDERPOWERED vs $25
CL_globex_5_R3,CL,globex,5,R3,1794,-22.21,-3.594,17.3,-46.27,0/7,,-39690.0,-0.58,NEGATIVE
CL_globex_15_R1,CL,globex,15,R1,1673,-30.64,-1.575,54.47,-93.66,1/7,,-60275.0,-2.04,UNDERPOWERED
CL_globex_15_R2,CL,globex,15,R2,1673,-39.79,-2.045,54.48,-88.06,1/7,,-77502.0,-3.49,NEGATIVE (t) but UNDERPOWERED vs $25
CL_globex_15_R3,CL,globex,15,R3,1673,-24.12,-3.305,20.43,-42.78,1/7,,-42070.0,-0.54,NEGATIVE
CL_globex_30_R1,CL,globex,30,R1,1410,-9.43,-0.375,70.4,-76.75,3/7,,-29575.0,-0.41,UNDERPOWERED
CL_globex_30_R2,CL,globex,30,R2,1410,-19.28,-0.818,66.01,-60.52,2/7,,-46197.0,-1.74,UNDERPOWERED
CL_globex_30_R3,CL,globex,30,R3,1410,-21.59,-2.304,26.24,-33.19,1/7,,-31140.0,0.31,NEGATIVE (t) but UNDERPOWERED vs $25
CL_globex_60_R1,CL,globex,60,R1,1131,-3.71,-0.116,89.15,-59.41,3/7,,-22575.0,-0.01,UNDERPOWERED
CL_globex_60_R2,CL,globex,60,R2,1131,-32.69,-1.353,67.64,-50.57,1/7,,-42245.0,-3.0,UNDERPOWERED
CL_globex_60_R3,CL,globex,60,R3,1131,-24.72,-1.962,35.28,-21.45,1/7,,-28790.0,0.99,UNDERPOWERED
CL_cash_0_C1,CL,cash,0,C1,271,10.35,0.169,171.43,25.36,4/7,1.76,-2130.0,3.37,UNDERPOWERED
NG_cash_5_R1,NG,cash,5,R1,1804,-15.34,-0.868,49.46,-4.62,1/7,,-41290.0,1.26,UNDERPOWERED
NG_cash_5_R2,NG,cash,5,R2,1804,-8.47,-0.551,43.02,-9.79,1/7,,-36711.0,1.29,UNDERPOWERED
NG_cash_5_R3,NG,cash,5,R3,1804,-24.81,-4.085,17.0,-20.62,1/7,,-44980.0,0.26,NEGATIVE
NG_cash_15_R1,NG,cash,15,R1,1795,-5.5,-0.287,53.62,-19.06,3/7,,-29295.0,1.02,UNDERPOWERED
NG_cash_15_R2,NG,cash,15,R2,1795,-12.39,-0.827,41.93,-16.83,1/7,,-41779.0,0.83,UNDERPOWERED
NG_cash_15_R3,NG,cash,15,R3,1795,-18.69,-2.173,24.08,-22.78,0/7,,-33255.0,0.15,NEGATIVE
NG_cash_30_R1,NG,cash,30,R1,1776,-16.48,-0.919,50.2,-23.22,3/7,,-44475.0,0.23,UNDERPOWERED
NG_cash_30_R2,NG,cash,30,R2,1776,-20.03,-1.606,34.91,-25.88,1/7,,-48196.0,0.07,UNDERPOWERED
NG_cash_30_R3,NG,cash,30,R3,1776,-27.1,-2.467,30.76,-16.3,0/7,,-45075.0,0.03,NEGATIVE (t) but UNDERPOWERED vs $25
NG_cash_60_R1,NG,cash,60,R1,1721,-13.88,-0.76,51.18,-31.6,3/7,,-49975.0,0.15,UNDERPOWERED
NG_cash_60_R2,NG,cash,60,R2,1721,-30.14,-2.546,33.15,-22.91,2/7,,-54365.0,0.04,NEGATIVE (t) but UNDERPOWERED vs $25
NG_cash_60_R3,NG,cash,60,R3,1721,-16.57,-1.313,35.33,-29.66,2/7,,-35590.0,-0.01,UNDERPOWERED
NG_globex_5_R1,NG,globex,5,R1,1527,-34.21,-2.356,40.65,-47.3,0/7,,-51330.0,-1.4,NEGATIVE (t) but UNDERPOWERED vs $25
NG_globex_5_R2,NG,globex,5,R2,1527,-46.41,-2.748,47.29,-66.25,0/7,,-68845.0,-2.43,NEGATIVE (t) but UNDERPOWERED vs $25
NG_globex_5_R3,NG,globex,5,R3,1527,-19.1,-3.921,13.64,-32.81,0/7,,-29140.0,-0.05,NEGATIVE
NG_globex_15_R1,NG,globex,15,R1,728,-28.68,-0.993,80.83,-16.65,2/7,,-25905.0,-0.88,UNDERPOWERED
NG_globex_15_R2,NG,globex,15,R2,728,-4.86,-0.178,76.43,-36.57,3/7,,-13217.0,1.19,UNDERPOWERED
NG_globex_15_R3,NG,globex,15,R3,728,-16.61,-1.541,30.19,-40.92,1/7,,-18120.0,-0.48,UNDERPOWERED
NG_globex_30_R1,NG,globex,30,R1,323,-68.65,-1.445,133.0,-101.52,2/7,,-24330.0,-4.39,UNDERPOWERED
NG_globex_30_R2,NG,globex,30,R2,323,-17.24,-0.419,115.27,-73.54,2/7,,-8960.0,0.92,UNDERPOWERED
NG_globex_30_R3,NG,globex,30,R3,323,-12.82,-0.582,61.65,-63.99,3/7,,-6145.0,-0.6,UNDERPOWERED
NG_globex_60_R1,NG,globex,60,R1,148,-42.84,-0.486,246.81,-298.33,2/7,,-8280.0,-2.18,UNDERPOWERED
NG_globex_60_R2,NG,globex,60,R2,148,-38.64,-0.689,157.11,-136.64,3/7,,-10659.0,1.22,UNDERPOWERED
NG_globex_60_R3,NG,globex,60,R3,148,66.05,1.781,103.86,-197.08,4/7,0.4,5845.0,6.92,UNDERPOWERED
NG_cash_0_C1,NG,cash,0,C1,290,-5.14,-0.098,146.92,11.6,1/7,,-22485.0,2.61,UNDERPOWERED
RTY_cash_5_R1,RTY,cash,5,R1,1804,-29.18,-1.777,45.97,-24.35,1/7,,-54655.0,-0.41,UNDERPOWERED
RTY_cash_5_R2,RTY,cash,5,R2,1804,-8.85,-0.762,32.53,-22.32,2/7,,-30872.0,2.17,UNDERPOWERED
RTY_cash_5_R3,RTY,cash,5,R3,1804,-32.88,-4.137,22.26,-34.78,0/7,,-52675.0,-1.55,NEGATIVE
RTY_cash_15_R1,RTY,cash,15,R1,1793,-13.58,-0.75,50.69,-10.04,1/7,,-28310.0,2.1,UNDERPOWERED
RTY_cash_15_R2,RTY,cash,15,R2,1793,-5.39,-0.466,32.44,-7.31,2/7,,-17373.0,4.29,UNDERPOWERED
RTY_cash_15_R3,RTY,cash,15,R3,1793,-23.14,-2.13,30.43,-34.28,2/7,,-43492.0,1.68,NEGATIVE (t) but UNDERPOWERED vs $25
RTY_cash_30_R1,RTY,cash,30,R1,1774,-15.65,-0.875,50.06,-15.22,1/7,,-29020.0,1.6,UNDERPOWERED
RTY_cash_30_R2,RTY,cash,30,R2,1774,-20.57,-1.963,29.33,-21.46,1/7,,-39301.0,0.57,UNDERPOWERED
RTY_cash_30_R3,RTY,cash,30,R3,1774,-8.83,-0.712,34.73,-38.54,2/7,,-19478.0,2.22,UNDERPOWERED
RTY_cash_60_R1,RTY,cash,60,R1,1663,-9.9,-0.572,48.45,-38.12,2/7,,-23765.0,2.22,UNDERPOWERED
RTY_cash_60_R2,RTY,cash,60,R2,1663,-28.91,-2.986,27.11,-43.29,1/7,,-48407.0,-0.16,NEGATIVE (t) but UNDERPOWERED vs $25
RTY_cash_60_R3,RTY,cash,60,R3,1663,1.59,0.118,37.78,-35.44,5/7,2.29,-3425.0,4.35,UNDERPOWERED
RTY_globex_5_R1,RTY,globex,5,R1,1703,-29.96,-2.242,37.42,-24.67,1/7,,-85795.0,-2.34,NEGATIVE (t) but UNDERPOWERED vs $25
RTY_globex_5_R2,RTY,globex,5,R2,1703,-20.98,-1.412,41.61,16.25,2/7,,-51828.0,0.31,UNDERPOWERED
